website,outdegree,indegree
a1.ro,36,31
activenews.ro,37,3
actualdecluj.ro,15,3
adevarul.ro,41,45
aktual24.ro,3,1
alba24.ro,55,13
albastiri.ro,11,1
antena1.ro,7,11
antena3.ro,296,82
aradon.ro,54,7
ardealnews.ro,6,1
arenavalceana.ro,16,1
argesenii.ro,12,2
arges-stiri.ro,22,1
atelieruldestiri.ro,9,1
avocatnet.ro,4,11
bihon.ro,58,19
bihorstiri.ro,19,1
blacknews.ro,5,3
botosaneanul.ro,19,3
btonline.ro,21,1
bugetul.ro,8,21
buzoienii.ro,15,1
bzb.ro,6,5
bzc.ro,27,7
bzi.ro,380,106
bzv.ro,26,7
campinatv.ro,18,2
cancan.ro,28,20
click.ro,7,26
com.ro,65,1
contributors.ro,7,58
crisana.ro,10,1
csid.ro,21,14
ct100.ro,16,2
cugetliber.ro,13,3
cunoastelumea.ro,9,1
curier.ro,18,2
cyd.ro,25,1
dcnews.ro,35,18
digi24.ro,26,55
ebihoreanul.ro,17,2
emaramures.ro,10,2
epitesti.ro,19,3
evenimentvalcean.ro,15,1
evz.ro,57,29
financiarul.ro,10,2
formula-as.ro,3,2
gandul.info,0,11
gazetadambovitei.ro,25,2
gazetavalceana.ro,7,2
giurgiuveanul.ro,32,1
glasul-hd.ro,14,1
gorj-domino.ro,14,2
gorjeanul.ro,10,2
graiulsalajului.ro,7,1
gsp.ro,642,203
hotnews.ro,870,1004
igj.ro,17,3
incomod-media.ro,20,1
independentonline.ro,9,1
infooradea.ro,33,1
infotr.ro,11,1
institutiilestatului.ro,14,2
jurnalistii.ro,6,1
kudika.ro,50,22
libertatea.ro,69,41
magazinsalajean.ro,14,1
mditv.ro,11,1
mediafax.ro,34,75
monitorulcj.ro,20,8
monitoruldegalati.ro,13,2
monitoruldevrancea.ro,25,2
mygsp.ro,41,5
national.ro,9,2
newsteam.ro,9,2
notabn.ro,6,1
obiectivbr.ro,16,3
opiniabuzau.ro,17,1
opiniaonline.ro,14,1
pandurul.ro,5,3
ph-online.ro,7,2
protv.ro,581,195
ramnicuvalceaweek.ro,23,1
rasunetul.ro,13,2
realitatea.net,0,15
recorder.ro,9,3
replicaonline.ro,13,3
reporterbuzoian.ro,15,3
reporterntv.ro,20,1
revistablogurilor.ro,8,1
riseproject.ro,8,65
rol.ro,8,1
romaniatv.net,0,14
sfatulmedicului.ro,8,5
sighet247.ro,7,3
someseanul.ro,17,5
sport.ro,104,37
spynews.ro,9,10
stiridebistrita.ro,6,1
stiridebuzau.ro,12,1
stiridecluj.ro,10,6
stiridefocsani.ro,6,1
stiridegalati.ro,4,1
stiridesibiu.ro,17,1
stiridesport.ro,7,1
stirideturnu.ro,9,1
stiridiaspora.ro,10,10
stirilekanald.ro,7,8
stirileprotv.ro,137,154
stiri-neamt.ro,13,1
stiripesurse.ro,17,27
sursata.ro,26,1
telegrafonline.ro,12,3
timponline.ro,5,6
tion.ro,44,6
tirmagazin.ro,12,1
tribuna.ro,35,8
turnulsfatului.ro,15,7
unica.ro,89,40
universulargesean.ro,9,1
vestea.net,0,1
viata-libera.ro,8,5
voceavalcii.ro,11,1
vremeanoua.ro,8,2
weradio.ro,34,1
wowbiz.ro,35,16
ygsp.ro,53,5
zf.ro,70,26
zhd.ro,15,2
ziar.com,0,23
ziardearad.ro,6,1
ziardehunedoara.ro,4,1
ziardesuceava.ro,4,1
ziarulargesul.ro,13,2
ziarulclujean.ro,13,3
ziaruldebaiamare.ro,4,1
ziaruldecraiova.ro,6,1
ziaruldeiasi.ro,109,14
ziaruldesalaj.ro,6,1
ziarulevenimentul.ro,46,9
ziarulprofit.ro,18,1
ziarulunirea.ro,11,6
zi-de-zi.ro,58,4
ziuact.ro,19,1
ziuadevest.ro,24,3
ztv.ro,4,1
